@relation 'Domain class relation'

@attribute domainRank numeric
@attribute TopLevelDomain numeric
@attribute DomainLength numeric
@attribute NumberOfDots numeric
@attribute dictRatio numeric
@attribute brandRatio numeric
@attribute domainRecords numeric
@attribute asNum numeric
@attribute bgpPrefix numeric
@attribute cc numeric
@attribute asOnwer numeric
@attribute domainClassification {MALICIOUS,BENIGN}

@data
{1 98689,2 5,3 1,4 100,5 80,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100}
{1 98689,2 7,3 1,4 100,5 85}
{1 98689,2 6,3 1,4 100,5 66}
{1 108957,2 7,3 1,4 100,5 85,11 BENIGN}
{1 98689,2 7,3 1,4 100,5 85}
{1 98689,2 8,3 1,4 50,5 75}
{1 98689,2 7,3 1,4 100,5 71}
{1 3179,2 7,3 1,4 100,5 100,6 1,7 23650,8 -895667720,9 2155,10 1595413670}
{0 1,1 98689,2 7,3 1,4 57,5 42,6 1,7 37963,8 556320751,9 2155,10 2117745249,11 BENIGN}
{1 98689,2 9,3 1,4 55,5 88,6 1,7 56127,8 -1867727181,9 2155,10 1049490209}
{1 98689,2 7,3 1,4 100,5 85,6 1,7 56127,8 -1867727181,9 2155,10 1049490209}
{1 98689,2 6,3 1,4 50,5 100,6 1,7 9848,8 286181251,9 2407,10 -1412764259,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 100,5 80,6 1,7 37963,8 1562754929,9 2155,10 2117745249,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 6939,8 560923087,9 2718,10 -834076104}
{1 98689,2 7,3 1,4 57,5 100,6 1,7 58543,8 1477793615,9 2155,10 -913189488}
{1 98689,2 7,3 1,4 71,5 57,6 1,7 4134,8 -1372704651,9 2155,10 1389414199}
{1 98689,2 4,3 1,4 100,5 75,6 1,7 23724,8 1731415218,9 2155,10 1774689051,11 BENIGN}
{0 1,1 98689,2 4,3 1,4 100,5 100,6 1,7 23724,8 1628080593,9 2155,10 1774689051,11 BENIGN}
{1 98689,2 6,3 1,4 50,5 66,6 1,7 38283,8 221698161,9 2155,10 -1255799231}
{0 1,1 98689,2 5,3 1,4 40,5 80,6 1,7 23650,8 -398200973,9 2155,10 1595413670,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 83,6 1,7 62468,8 599977670,9 2155,10 2120687708}
{1 98689,2 10,3 1,4 80,5 90,6 1,7 4837,8 -1805697593,9 2155,10 2017028797}
{1 98689,2 7,3 1,4 100,5 85,6 1,7 58543,8 -1263853999,9 2155,10 -913189488}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 38197,8 1122788185,9 2155,10 -1141493246}
{1 98689,2 10,3 1,4 40,5 90,6 1,7 4134,8 -567116816,9 2155,10 1389414199}
{1 98689,2 8,3 1,4 100,5 100,6 1,7 9809,8 1005033854,9 2155,10 969807630}
{1 98689,2 6,3 1,4 100,5 83,6 1,7 9809,8 1005033854,9 2155,10 969807630}
{1 98689,2 5,3 1,4 100,5 80,6 1,7 17816,8 688863604,9 2155,10 1650854550}
{1 98689,2 6,3 1,4 100,5 83,6 1,7 4134,8 -992278855,9 2155,10 1389414199}
{1 98689,2 5,3 1,4 100,5 80,6 1,7 4134,8 -1345918246,9 2155,10 1389414199}
{1 98689,2 6,3 1,4 100,5 83,6 1,7 58879,8 1655001723,9 2155,10 21035325}
{1 108957,2 6,3 1,4 100,5 100,6 1,7 38186,8 291329718,9 2307,10 -18515064}
{0 1,1 98689,2 6,3 1,4 100,5 83,6 1,7 37963,8 -1141735055,9 2155,10 2117745249,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 1,7 18978,8 -1542961351,9 2718,10 -632963706,11 BENIGN}
{1 3179,2 6,3 1,4 100,5 83,6 1,7 4134,8 700849266,9 2155,10 1389414199}
{1 98689,2 8,3 1,4 100,5 87,6 1,7 17444,8 -1728720184,9 2307,10 1480075739}
{1 98689,2 7,3 1,4 57,5 100,6 1,7 4134,8 700849266,9 2155,10 1389414199}
{1 98689,2 12,3 1,4 50,5 100,6 1,7 18779,8 1154579664,9 2718,10 -620423657}
{1 98689,2 7,3 1,4 100,5 85,6 1,7 4837,8 1758248337,9 2155,10 2017028797}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 23650,8 1107946311,9 2155,10 1595413670}
{1 98689,2 8,3 1,4 100,5 87}
{1 108957,2 6,3 1,4 66,5 100}
{1 98689,2 5,3 1,4 100,5 100}
{1 98689,2 4,3 1,4 100,5 100}
{1 97555,2 9,3 1,4 44,5 100}
{1 98689,2 7,3 1,4 100,5 100}
{1 98689,2 7,3 1,4 100,5 100}
{1 98689,2 12,3 2,4 100,5 83,6 1,7 9809,8 1005033854,9 2155,10 969807630}
{1 3651,2 10,3 1,4 70,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 10,3 1,4 70,5 80,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 11,3 1,4 63,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 11,3 1,4 63,5 81,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 11,3 1,4 36,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 46573,8 609142604,9 2718,10 -886671904}
{1 3179,2 2,3 1,4 100,5 100,6 1,7 4847,8 1317625626,9 2155,10 -367945073,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 40676,8 243531057,9 2718,10 -1227235888}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 38197,8 1612458184,9 2307,10 -1141493246}
{1 -1354875912,2 3,3 2,4 100,5 100,6 1,7 4837,8 711805841,9 2155,10 2017028797,11 BENIGN}
{1 98689,2 18,3 2,4 100,5 80,6 1,7 16276,8 -65769802,9 2252,10 824317969}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 54600,8 527127583,9 2718,10 -1662878069,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 58879,8 1365736983,9 2155,10 21035325}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 58593,8 -1883519629,9 2155,10 -660694237}
{1 98689,2 9,3 1,4 44,5 77,6 1,7 37943,8 84507312,9 2155,10 -122936046}
{1 108957,2 7,3 1,4 100,5 71,6 1,7 40676,8 470374641,9 2718,10 -1227235888}
{1 98689,2 6,3 1,4 100,5 83,6 1,7 4134,8 700849266,9 2155,10 1389414199}
{1 98689,2 4,3 1,4 50,5 100,6 1,7 62468,8 -1569282248,9 2307,10 2120687708}
{0 1,1 98689,2 4,3 1,4 100,5 100,6 1,7 32613,8 -1878502857,9 2142,10 2056765818,11 BENIGN}
{1 98689,2 7,3 1,4 100,5 100,6 2,7 13335,8 -1064343702,9 2718,10 -597358690}
{0 1,1 -1354875376,2 3,3 2,4 100,5 100,11 BENIGN}
{1 3237038,2 4,3 1,4 100,5 100,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 100}
{1 3179,2 11,3 1,4 100,5 90}
{1 98689,2 9,3 1,4 22,5 100}
{1 3237038,2 4,3 1,4 100,5 100,11 BENIGN}
{1 98689,2 7,3 1,4 71,5 71}
{0 1,1 3179,2 5,3 1,4 100,5 100,11 BENIGN}
{1 98689,2 6,3 1,4 33,5 50}
{1 98689,2 7,3 1,4 100,5 100}
{1 -1240091189,2 8,3 2,4 100,5 100,11 BENIGN}
{1 108957,2 22,3 2,4 28,5 100}
{1 98689,2 6,3 1,4 100,5 100,11 BENIGN}
{1 98689,2 13,3 1,4 15,5 100}
{1 97555,2 4,3 1,4 100,5 100}
{1 97555,2 6,3 1,4 33,5 100}
{1 3237038,2 24,3 2,4 88,5 88}
{1 98689,2 5,3 1,4 100,5 100}
{1 98689,2 11,3 1,4 100,5 90}
{1 98689,2 4,3 1,4 100,5 100,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 100,11 BENIGN}
{1 98689,2 18,3 1,4 44,5 100}
{1 3179,2 11,3 2,4 100,5 60}
{1 3591,2 3,3 1,4 100,5 100}
{1 98689,2 6,3 1,4 66,5 100,11 BENIGN}
{1 3591,2 3,3 1,4 100,5 66}
{0 1,1 98689,2 9,3 1,4 44,5 100,6 1,7 19994,8 1095547035,9 2718,10 4404645,11 BENIGN}
{0 1,1 94783320,2 7,3 2,4 57,5 100,6 1,7 20738,8 470222505,9 2267,10 535351056,11 BENIGN}
{0 1,1 -1354875912,2 6,3 2,4 100,5 100,6 1,7 4134,8 100259902,9 2155,10 1389414199,11 BENIGN}
{0 1,1 98689,2 9,3 1,4 22,5 22,6 2,7 13335,8 -1815166825,9 2718,10 -597358690,11 BENIGN}
{0 1,1 98689,2 12,3 1,4 41,5 100,6 1,7 16276,8 940814205,9 2252,10 824317969,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 83,6 2,7 46844,8 1665804767,9 2718,10 788103715}
{0 1,1 3651,2 3,3 1,4 100,5 100,6 1,7 8732,8 -415921011,9 2627,10 281065115,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 1,7 58543,8 -767553843,9 2155,10 -913189488,11 BENIGN}
{0 1,1 98689,2 7,3 1,4 100,5 71,6 1,7 4134,8 -479632835,9 2155,10 1389414199,11 BENIGN}
{0 1,1 98689,2 8,3 1,4 37,5 100,6 1,7 36351,8 -1396012030,9 2718,10 2137645481,11 BENIGN}
{1 3398,2 8,3 1,4 37,5 75,6 1,7 18068,8 -1817115888,9 2374,10 1242285313,11 BENIGN}
{1 110308,2 4,3 1,4 100,5 100,6 1,7 36352,8 -2001677787,9 2718,10 -400110958}
{1 98689,2 5,3 1,4 60,5 100,6 1,7 4134,8 1289513466,9 2155,10 1389414199,11 BENIGN}
{0 1,1 3398,2 6,3 1,4 100,5 100,6 2,7 2519,8 -551901189,9 2374,10 -1534716722,11 BENIGN}
{0 1,1 98689,2 3,3 1,4 100,5 100,6 1,7 58543,8 1123203785,9 2155,10 -913189488,11 BENIGN}
{1 98689,2 7,3 1,4 100,5 100,6 1,7 4134,8 700849266,9 2155,10 1389414199}
{1 3651,2 11,3 1,4 72,5 81,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 10,3 1,4 50,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 9,3 1,4 55,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 9,3 1,4 44,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 9,3 1,4 55,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 3651,2 12,3 1,4 66,5 100,6 1,7 25532,8 1102842804,9 2627,10 817775747}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 54600,8 579221668,9 2718,10 -1662878069}
{0 1,1 -1354875376,2 4,3 2,4 100,5 100,6 1,7 17408,8 1268138328,9 2691,10 -1168305698,11 BENIGN}
{0 1,1 -1354875912,2 3,3 2,4 100,5 100,6 1,7 4812,8 -1318048877,9 2155,10 -504279689,11 BENIGN}
{1 108957,2 17,3 2,4 83,5 100,6 1,7 4766,8 889223219,9 2407,10 215067140}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 2,7 23724,8 -1493980239,9 2155,10 1774689051,11 BENIGN}
{0 1,1 98689,2 3,3 1,4 100,5 66,6 2,7 58543,8 1503163849,9 2155,10 -913189488,11 BENIGN}
{1 3168,2 5,3 1,4 100,5 100,6 2,7 9394,8 -500002089,9 2155,10 661467645}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 1,7 4808,8 1291933216,9 2155,10 -2069750322,11 BENIGN}
{1 3179,2 8,3 1,4 62,5 100,6 1,7 58543,8 730502595,9 2155,10 -913189488,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 1,7 37963,8 -989402032,9 2155,10 2117745249,11 BENIGN}
{1 3168,2 12,3 2,4 100,5 100,6 1,7 23724,8 245017708,9 2155,10 1774689051}
{1 108957,2 4,3 1,4 100,5 100,6 1,7 58879,8 710239740,9 2155,10 21035325}
{0 1,1 98689,2 13,3 1,4 30,5 69,6 1,7 26496,8 1691287685,9 2718,10 -869396309,11 BENIGN}
{1 3369,2 8,3 1,4 50,5 100,6 1,7 57497,8 1092928336,9 2345,10 -488254427,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 54600,8 579221668,9 2718,10 -1662878069}
{1 98689,2 12,3 1,4 33,5 33,6 1,7 40034,8 -153913170,9 2149,10 -1858683205,11 BENIGN}
{1 98689,2 17,3 1,4 11,5 82,6 1,7 20013,8 552973256,9 2718,10 1526146996,11 BENIGN}
{0 1,1 108957,2 5,3 1,4 100,5 100,6 10,7 54994,8 -2051638671,9 2718,10 -618613324,11 BENIGN}
{1 3651,2 5,3 1,4 40,5 80,6 1,7 39134,8 315221968,9 2627,10 -1409394059,11 BENIGN}
{1 108957,2 4,3 1,4 50,5 100,6 1,7 16276,8 -577751653,9 2252,10 824317969,11 BENIGN}
{1 -1354875939,2 10,3 2,4 60,5 80,6 1,7 26496,8 -1429833702,9 2718,10 -869396309,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 60,5 100,6 1,7 23724,8 1638908633,9 2155,10 1774689051,11 BENIGN}
{1 3707,2 9,3 1,4 55,5 100,6 1,7 61969,8 522896173,9 2177,10 -353392788}
{0 1,1 98689,2 12,3 1,4 16,5 100,6 2,7 13335,8 49379579,9 2718,10 -597358690,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 46844,8 1739766236,9 2718,10 788103715}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 23650,8 -1281766147,9 2155,10 1595413670}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 18450,8 -306855833,9 2718,10 2073001885}
{0 1,1 108957,2 3,3 1,4 100,5 100,6 2,7 45062,8 2101207801,9 2155,10 -392900068,11 BENIGN}
{0 1,1 98689,2 3,3 1,4 100,5 100,6 2,7 45062,8 2101207801,9 2155,10 -392900068,11 BENIGN}
{1 98689,2 11,3 1,4 100,5 45,6 1,7 54600,8 471292060,9 2718,10 -1662878069}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 58879,8 -34118186,9 2155,10 21035325}
{1 98689,2 13,3 1,4 30,5 84,6 1,7 46573,8 -655743154,9 2718,10 -886671904}
{1 98689,2 16,3 1,4 18,5 100,6 1,7 46475,8 -1178259235,9 2718,10 -428736045,11 BENIGN}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 4134,8 -1372704651,9 2155,10 1389414199,11 BENIGN}
{1 3179,2 11,3 2,4 100,5 100,6 1,7 4134,8 -692053487,9 2155,10 1389414199}
{1 98689,2 11,3 1,4 27,5 54,6 1,7 8560,8 -1582769721,9 2718,10 -340947966,11 BENIGN}
{1 3580,2 4,3 1,4 100,5 100,6 1,7 57367,8 724752632,9 2556,10 1858717974,11 BENIGN}
{1 98689,2 3,3 1,4 100,5 100,6 1,7 4134,8 349540548,9 2155,10 1389414199,11 BENIGN}
{1 98689,2 9,3 1,4 33,5 100,6 1,7 42829,8 1340574706,9 2099,10 -1718412855,11 BENIGN}
{1 3201,2 9,3 1,4 33,5 100,6 1,7 42829,8 1340574706,9 2099,10 -1718412855,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 4837,8 746179156,9 2155,10 2017028797,11 BENIGN}
{0 1,1 98689,2 13,3 1,4 23,5 100,6 2,7 13335,8 -1064343702,9 2718,10 -597358690,11 BENIGN}
{1 98689,2 6,3 1,4 50,5 100,6 1,7 4847,8 1440609950,9 2155,10 -367945073,11 BENIGN}
{0 1,1 98689,2 6,3 1,4 33,5 100,6 2,7 46844,8 -258059266,9 2718,10 788103715,11 BENIGN}
{0 1,1 98689,2 7,3 1,4 42,5 100,6 1,7 2516,8 1450589944,9 2374,10 386218698,11 BENIGN}
{0 1,1 98689,2 7,3 1,4 42,5 85,6 1,7 58466,8 1789781159,9 2155,10 -97939440,11 BENIGN}
{1 3651,2 6,3 1,4 100,5 100,6 1,7 198068,8 846912662,9 2208,10 1990342092,11 BENIGN}
{0 1,1 3464,2 5,3 1,4 40,5 80,6 2,7 61091,8 1055697375,9 2440,10 1571595351,11 BENIGN}
{1 3179,2 10,3 2,4 100,5 100,6 1,7 4812,8 -486168267,9 2155,10 -504279689}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 35017,8 1989704273,9 2718,10 1702955053}
{0 1,1 98689,2 6,3 1,4 66,5 100,6 1,7 18229,8 1452480996,9 2341,10 2010890678,11 BENIGN}
{1 98689,2 7,3 1,4 42,5 71,6 1,7 58543,8 1477793615,9 2155,10 -913189488}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 1,7 23650,8 2036340004,9 2155,10 1595413670,11 BENIGN}
{0 1,1 98689,2 9,3 1,4 44,5 100,6 1,7 20773,8 -159952609,9 2177,10 1346612848,11 BENIGN}
{0 1,1 94783017,2 4,3 2,4 100,5 100,6 1,7 9644,8 -999751701,9 2407,10 206838868,11 BENIGN}
{1 3651,2 8,3 1,4 50,5 100,6 3,7 47447,8 443515246,9 2177,10 -1265836751}
{1 3651,2 12,3 1,4 25,5 100,6 3,7 47447,8 443515246,9 2177,10 -1265836751}
{0 1,1 3177,2 2,3 1,4 100,5 100,6 2,7 6429,8 1775460267,9 2153,10 -1627974004,11 BENIGN}
{1 98689,2 24,3 2,4 100,5 100,6 1,7 37963,8 -989402032,9 2155,10 2117745249}
{1 98689,2 23,3 2,4 100,5 80,6 1,7 37963,8 -989402032,9 2155,10 2117745249}
{1 98689,2 27,3 2,4 100,5 90,6 1,7 37963,8 -989402032,9 2155,10 2117745249}
{1 108957,2 16,3 2,4 100,5 100,6 1,7 37963,8 -989402032,9 2155,10 2117745249}
{0 1,1 3651,2 14,3 1,4 100,5 100,6 2,7 50214,8 -882528887,9 2627,10 1252922956,11 BENIGN}
{0 1,1 98689,2 14,3 1,4 21,5 100,6 1,7 14618,8 -603136781,9 2718,10 -446812894,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 4134,8 -692053487,9 2155,10 1389414199}
{1 98689,2 6,3 1,4 100,5 50,6 1,7 26484,8 993266394,9 2718,10 -60744789}
{1 98689,2 6,3 1,4 100,5 50,6 1,7 26484,8 993266394,9 2718,10 -60744789}
{1 94782941,2 10,3 2,4 40,5 100,6 1,7 197291,8 -900707064,9 2183,10 -1908953550,11 BENIGN}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 23724,8 1758440407,9 2155,10 1774689051,11 BENIGN}
{1 98689,2 14,3 1,4 28,5 100,6 1,7 201525,8 -198763952,9 2267,10 -1665319677}
{1 98689,2 6,3 1,4 50,5 100,6 1,7 18182,8 -1276914085,9 2691,10 1127899667}
{1 108957,2 5,3 1,4 100,5 100,6 2,7 13335,8 -1815166825,9 2718,10 -597358690,11 BENIGN}
{0 1,1 98689,2 9,3 1,4 33,5 100,6 1,7 33695,8 -1625840749,9 2718,10 -67714873,11 BENIGN}
{1 98689,2 15,3 1,4 26,5 100,6 1,7 46606,8 1478767902,9 2718,10 -28884554,11 BENIGN}
{0 1,1 98689,2 3,3 1,4 100,5 100,6 2,7 6939,8 936465179,9 2718,10 -834076104,11 BENIGN}
{1 98689,2 18,3 2,4 100,5 100,6 4,7 4134,8 -567116816,9 2155,10 1389414199}
{1 98689,2 10,3 1,4 30,5 30,6 1,7 38895,8 -758071885,9 2718,10 -406121797,11 BENIGN}
{0 1,1 98689,2 3,3 1,4 100,5 100,6 1,7 4837,8 693729809,9 2155,10 2017028797,11 BENIGN}
{1 3371,2 6,3 1,4 50,5 100,6 1,7 26496,8 2056755193,9 2718,10 -869396309}
{1 110308,2 5,3 1,4 100,5 100,6 2,7 13335,8 -1064343702,9 2718,10 -597358690,11 BENIGN}
{1 3651,2 7,3 1,4 42,5 100,6 3,7 199456,8 -2026116888,9 2267,10 1429087620}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 21844,8 -707147331,9 2718,10 649072506,11 BENIGN}
{1 3645,2 12,3 1,4 25,5 100,6 1,7 5588,8 1397965184,9 2621,10 512020049,11 BENIGN}
{1 -1354875967,2 16,3 2,4 12,5 100,6 1,7 32392,8 1647216823,9 2718,10 -1778719219,11 BENIGN}
{0 1,1 3276,2 6,3 1,4 100,5 100,6 1,7 8660,8 -1249670220,9 2347,10 309698292,11 BENIGN}
{1 3179,2 9,3 2,4 100,5 100,6 1,7 18779,8 652421146,9 2718,10 -620423657}
{1 98689,2 4,3 1,4 100,5 100,6 1,7 37963,8 -882788135,9 2155,10 2117745249,11 BENIGN}
{1 -1249564196,2 8,3 2,4 37,5 100,6 1,7 26347,8 1840380240,9 2718,10 -1090343763,11 BENIGN}
{1 108957,2 9,3 1,4 55,5 100,6 1,7 16276,8 -995022474,9 2252,10 824317969,11 BENIGN}
{0 1,1 98689,2 7,3 1,4 42,5 100,6 2,7 13335,8 -780865800,9 2718,10 -597358690,11 BENIGN}
{1 98689,2 9,3 1,4 33,5 100,6 1,7 63916,8 200210859,9 2476,10 -774326712}
{1 98689,2 8,3 1,4 37,5 100,6 1,7 46475,8 1289995434,9 2718,10 -428736045,11 BENIGN}
{0 1,1 98689,2 8,3 1,4 37,5 100,6 1,7 30212,8 1045783233,9 2718,10 1344958086,11 BENIGN}
{1 98689,2 7,3 1,4 28,5 100,6 1,7 46606,8 1769226035,9 2718,10 -28884554,11 BENIGN}
{0 1,1 98689,2 12,3 1,4 25,5 41,6 2,7 14618,8 1628584430,9 2718,10 -446812894,11 BENIGN}
{0 1,1 98689,2 5,3 1,4 100,5 100,6 1,7 24482,8 -1716397779,9 2644,10 -508663331,11 BENIGN}
{1 98689,2 16,3 2,4 22,5 100,6 3,7 33612,8 -192708981,9 2718,10 1565078547,11 BENIGN}
{0 1,1 98689,2 13,3 1,4 23,5 100,6 1,7 13909,8 -424863368,9 2718,10 727487769,11 BENIGN}
{1 -1354875498,2 5,3 2,4 60,5 100,6 1,7 23724,8 -2123064745,9 2155,10 1774689051,11 BENIGN}
{1 98689,2 5,3 1,4 100,5 100,6 1,7 26496,8 2056755193,9 2718,10 -869396309,11 BENIGN}
{0 1,1 3179,2 5,3 1,4 60,5 100,6 1,7 4812,8 2113303280,9 2155,10 -504279689,11 BENIGN}
{0 1,1 98689,2 4,3 1,4 100,5 100,6 1,7 53665,8 954023627,9 2718,10 -1220738514,11 BENIGN}
{0 1,1 3201,2 10,3 1,4 50,5 100,6 1,7 50673,8 2092726943,9 2494,10 790488776,11 BENIGN}
{0 1,1 98689,2 6,3 1,4 100,5 100,6 1,7 23650,8 2064969155,9 2155,10 1595413670}
{1 98689,2 6,3 1,4 100,5 100,6 1,7 58879,8 -978880169,9 2155,10 21035325}
{0 1,1 3179,2 5,3 1,4 100,5 100,6 1,7 9808,8 -1856067798,9 2155,10 -441580558,11 BENIGN}
{1 98689,2 10,3 1,4 40,5 80,6 1,7 57910,8 1184547522,9 2222,10 883063829,11 BENIGN}
{1 98689,2 3,3 1,4 100,5 100,6 1,7 4766,8 -1141364650,9 2407,10 215067140,11 BENIGN}
